City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Katangli,51.7102,143.2326,58.03,75,88,11.23,RU,1659230785
Padang,-0.9492,100.3543,78.85,76,17,3.47,ID,1659230785
Japura,-0.3167,102.35,77.7,85,95,3.2,ID,1659230785
Vardø,70.3705,31.1107,51.78,93,100,10.36,NO,1659230785
Caucayá,-0.1934,-74.7819,71.82,94,22,1.7,CO,1659230728
Kahului,20.8947,-156.47,91.42,43,40,24.16,US,1659230488
Kýria,41.1,24.2833,78.48,58,0,3.31,GR,1659230786
Guozhen,34.3659,107.359,80.4,71,62,5.3,CN,1659230786
Paamiut,61.994,-49.6678,43.14,91,82,11.7,GL,1659230786
Koumac,-20.5667,164.2833,74.17,67,50,20.92,NC,1659230787
Warah,27.4481,67.7978,87.71,71,100,8.55,PK,1659230787
Bihārīganj,25.7333,86.9833,81.52,86,100,6.89,IN,1659230787
Ipoh,4.5841,101.0829,78.71,83,20,0.0,MY,1659230597
Mayo,38.8876,-76.5119,81.1,76,0,0.0,US,1659230747
Mikuni,36.2171,136.1519,94.91,62,11,7.36,JP,1659230788
Taltal,-25.4,-70.4833,56.91,80,18,3.74,CL,1659230788
Djebeniana,35.035,10.9081,82.2,54,0,4.09,TN,1659230788
Anchorage,61.2181,-149.9003,63.61,80,100,5.75,US,1659230700
Plettenberg Bay,-34.0527,23.3716,51.01,80,68,11.86,ZA,1659230789
Porto-Novo,6.4965,2.6036,76.82,81,100,8.25,BJ,1659230789
Itaituba,-4.2761,-55.9836,76.26,81,84,2.51,BR,1659230789
Puerto Escondido,15.85,-97.0667,83.23,61,75,8.05,MX,1659230789
Nagato,34.3833,131.2,85.42,71,78,23.17,JP,1659230850
Pangnirtung,66.1451,-65.7125,53.6,82,100,17.27,CA,1659230850
La Roda,39.2167,-2.15,73.13,83,13,15.95,ES,1659230850
Nanfeng,23.7434,111.7959,86.13,63,18,0.18,CN,1659230850
Sai Buri,6.7013,101.6168,82.96,79,100,2.19,TH,1659230851
Bodhan,18.6667,77.9,76.69,87,77,3.76,IN,1659230851
Prado,-17.3411,-39.2208,73.09,93,3,3.44,BR,1659230851
Camapuã,-19.5314,-54.0439,67.75,46,0,3.38,BR,1659230852
Løding,67.3,14.75,61.65,67,0,14.97,NO,1659230852
Dekar,-21.5333,21.9333,57.51,31,1,4.94,BW,1659230852
Chernyshevskiy,63.0128,112.4714,70.88,61,50,2.26,RU,1659230852
Henties Bay,-22.116,14.2845,54.64,85,47,11.9,NA,1659230853
Khasan,42.4308,130.6434,75.65,89,100,3.98,RU,1659230853
Arkhara,49.4212,130.0842,78.33,72,12,4.23,RU,1659230853
Rodolfo Sánchez Taboada,31.7167,-116.5667,74.1,77,43,3.0,MX,1659230854
Vila Velha,-20.3297,-40.2925,71.55,60,75,9.22,BR,1659230854
Cairns,-16.9167,145.7667,78.06,69,100,10.36,AU,1659230674
Amapá,1.0,-52.0,72.41,98,100,2.26,BR,1659230854
Sartell,45.6216,-94.2069,80.55,59,0,9.22,US,1659230855
Geraldton,-28.7667,114.6,54.01,82,0,12.66,AU,1659230835
Cockburn Town,21.4612,-71.1419,82.02,86,25,22.24,TC,1659230650
Canora,51.6333,-102.4343,71.62,94,100,16.53,CA,1659230855
Katsuura,35.1333,140.3,86.02,71,5,11.97,JP,1659230855
Spencer,43.1414,-95.1444,79.75,56,0,9.22,US,1659230856
Cayenne,4.9333,-52.3333,78.1,1,77,0.0,GF,1659230856
Ostrovnoy,68.0531,39.5131,55.42,94,33,5.32,RU,1659230856
Karratha,-20.7377,116.8463,75.42,41,10,7.16,AU,1659230856
Princeton,25.5384,-80.4089,85.01,76,75,12.66,US,1659230743
Nnewi,6.0199,6.9148,71.08,98,100,4.0,NG,1659230857
Progreso,21.2833,-89.6667,74.1,79,56,12.53,MX,1659230857
Altamira,-3.2033,-52.2064,72.07,98,52,3.04,BR,1659230857
Camacha,33.0833,-16.3333,67.42,73,40,10.36,PT,1659230858
San Andrés,12.5847,-81.7006,82.42,83,75,14.97,CO,1659230858
Grand-Santi,4.25,-54.3833,72.55,99,100,2.51,GF,1659230858
Mount Isa,-20.7333,139.5,73.17,35,100,9.22,AU,1659230858
Los Llanos de Aridane,28.6585,-17.9182,71.35,87,100,14.97,ES,1659230859
Nipawin,53.3668,-104.0009,60.84,100,100,11.5,CA,1659230859
Novyy Urgal,51.0736,132.5642,79.18,62,0,0.74,RU,1659230859
Balezino,57.9796,53.0106,62.33,69,98,1.9,RU,1659230860
Letterkenny,54.95,-7.7333,52.93,96,90,3.27,IE,1659230860
Tiznit Province,29.5833,-9.5,86.58,19,0,2.42,MA,1659230860
Manono,-7.3,27.4167,73.92,44,38,1.48,CD,1659230860
Alugan,12.2188,125.4808,81.75,82,100,8.01,PH,1659230599
Scarborough,54.2797,-0.4044,63.97,91,100,6.42,GB,1659230746
Constitución,-35.3333,-72.4167,51.89,87,98,4.99,CL,1659230861
Ixtapa,20.7,-105.2,85.23,66,40,5.75,MX,1659230861
Marystown,47.1666,-55.1483,63.86,100,100,14.88,CA,1659230862
Conceição do Araguaia,-8.2578,-49.2647,76.66,41,0,2.55,BR,1659230862
Sørland,67.667,12.6934,57.06,78,12,11.18,NO,1659230862
Pingdingshan,33.7385,113.3012,84.06,67,0,4.99,CN,1659230862
George Town,5.4112,100.3354,82.89,87,20,3.44,MY,1659230923
Kachug,53.9606,105.8817,62.73,92,100,7.07,RU,1659230923
Taoudenni,22.6783,-3.9836,96.89,26,94,11.68,ML,1659230923
Beyneu,45.3167,55.2,80.42,37,44,5.77,KZ,1659230924
Batouri,4.4333,14.3667,65.05,99,32,3.47,CM,1659230924
Vestmanna,62.1564,-7.1664,49.12,87,75,4.61,FO,1659230924
Manaure,11.7751,-72.4445,81.61,69,0,21.43,CO,1659230924
Laguna,38.421,-121.4238,98.31,47,0,13.8,US,1659230925
Yen Bai,21.7,104.8667,80.2,90,100,1.95,VN,1659230925
Sherlovaya Gora,50.5667,116.25,66.51,73,4,1.3,RU,1659230925
Arrondissement de Bastia,42.6667,9.3333,78.3,56,0,4.61,FR,1659230926
Yining,29.0361,114.5636,84.22,73,10,1.05,CN,1659230926
Englehart,47.8169,-79.8664,73.42,73,0,6.91,CA,1659230926
Coruripe,-10.1256,-36.1756,74.1,88,50,9.24,BR,1659230926
‘Āhuimanu,21.4447,-157.8378,87.51,69,100,16.11,US,1659230927
Palmer,42.1584,-72.3287,74.25,71,20,0.0,US,1659230920
Portland,45.5234,-122.6762,102.56,30,20,12.66,US,1659230768
Khorixas,-20.3667,14.9667,50.16,48,0,2.24,NA,1659230927
Monywa,22.1167,95.1333,84.81,70,100,5.1,MM,1659230927
Gimbi,9.1667,35.8333,55.02,99,94,2.89,ET,1659230928
Sabang,5.8933,95.3214,82.62,75,100,20.11,ID,1659230928
Camaná,-16.6228,-72.7111,60.6,78,5,5.88,PE,1659230928
Brae,60.3964,-1.353,52.07,84,10,12.44,GB,1659230928
Te Anau,-45.4167,167.7167,41.18,80,71,0.92,NZ,1659230649
Sibu,2.3,111.8167,75.51,88,40,3.44,MY,1659230929
Coquimbo,-29.9533,-71.3436,55.13,94,100,3.44,CL,1659230929
Ambovombe,-25.1667,46.0833,66.51,74,9,4.88,MG,1659230929
Tazovsky,67.4667,78.7,45.09,78,2,15.01,RU,1659230930
Vilhena,-12.7406,-60.1458,67.64,48,0,1.63,BR,1659230930
Mahenge,-8.6833,36.7167,63.05,68,100,1.7,TZ,1659230930
Tagusao,9.1924,117.8141,82.94,76,100,5.75,PH,1659230930
Baguanos,20.7517,-76.0269,80.89,80,0,14.32,CU,1659230931
Yatou,37.15,122.3833,76.41,95,100,10.67,CN,1659230931
Nalvo,16.8096,120.5108,82.42,71,100,2.91,PH,1659230931
Nanortalik,60.1432,-45.2371,44.17,89,94,3.74,GL,1659230932
Mastung,29.7994,66.845,75.42,65,97,5.32,PK,1659230932
Riverton,40.5219,-111.9391,93.67,24,0,8.05,US,1659230932
Batagay-Alyta,67.8006,130.4114,73.44,62,95,4.65,RU,1659230932
Ploemeur,47.7333,-3.4333,63.82,87,40,4.61,FR,1659230933
Vallenar,-28.5708,-70.7581,56.21,76,0,2.33,CL,1659230933
Parabel',58.6978,81.4825,64.98,85,100,6.8,RU,1659230933
Eyl,7.9803,49.8164,75.2,77,100,20.49,SO,1659230934
Chake Chake,-5.2459,39.7666,72.55,87,11,8.66,TZ,1659230934
Point Pedro,9.8167,80.2333,80.98,83,100,10.11,LK,1659230934
Klamath Falls,42.2249,-121.7817,92.86,19,0,16.11,US,1659230934
Krasnaya Gora,52.9995,31.6023,60.66,75,76,6.35,RU,1659230935
Ndélé,8.4109,20.6473,68.5,99,100,3.74,CF,1659230935
Gondanglegi,-7.7479,112.0132,78.78,74,88,11.12,ID,1659230935
Belmonte,-15.8631,-38.8828,74.37,89,6,10.51,BR,1659230936
Khartoum,15.5518,32.5324,89.83,41,93,14.05,SD,1659230936
Tezu,27.9167,96.1667,78.85,90,64,1.86,IN,1659230996
Goulburn,-34.75,149.7167,51.55,58,100,11.81,AU,1659230996
Necochea,-38.5473,-58.7368,51.26,73,100,8.08,AR,1659230997
Gwadar,25.1216,62.3254,80.98,84,100,8.55,PK,1659230997
Aras,42.5617,-2.356,63.03,72,0,6.91,ES,1659230997
Keetmanshoop,-26.5833,18.1333,44.08,69,82,2.73,NA,1659230998
Gilbués,-9.8317,-45.3439,75.87,36,2,2.48,BR,1659230998
Ortigueira,-24.2083,-50.9494,48.83,55,5,2.62,BR,1659230998
Felipe Carrillo Puerto,19.5833,-88.05,77.22,85,100,2.86,MX,1659230998
Mednogorsk,51.4128,57.595,58.98,75,95,5.46,RU,1659230999
Hammerfest,70.6634,23.6821,48.65,81,82,11.5,NO,1659230999
Sitka,57.0531,-135.33,60.69,82,100,3.44,US,1659230999
Port Augusta,-32.5,137.7667,57.36,50,100,11.07,AU,1659230999
Kushiro,42.975,144.3747,86.95,66,75,8.05,JP,1659231000
Santa Cruz de Tenerife,28.4682,-16.2546,74.62,92,75,18.41,ES,1659231000
Chelbasskaya,45.9792,39.3719,70.88,75,8,8.03,RU,1659231000
Kilindoni,-7.9139,39.6668,74.41,82,16,9.95,TZ,1659231001
Ahipara,-35.1667,173.1667,57.06,55,29,20.13,NZ,1659230716
Imeni Poliny Osipenko,52.4201,136.4853,72.14,67,90,2.42,RU,1659231001
Morehead,37.2711,-87.1764,73.15,86,75,0.0,US,1659231001
Katima Mulilo,-17.5,24.2667,52.79,43,0,4.25,NA,1659231002
Udaipur,24.5712,73.6918,76.1,84,99,11.01,IN,1659231002
Münster,51.9624,7.6257,67.86,72,0,1.14,DE,1659231003
Usinsk,65.9939,57.5281,56.19,74,47,7.7,RU,1659231003
Baracoa,20.3467,-74.4958,80.91,85,66,13.29,CU,1659231003
Nangomba,-10.9,38.5,64.06,86,0,1.12,TZ,1659231004
Port Hawkesbury,45.6169,-61.3485,66.58,98,0,2.3,CA,1659231004
Raudeberg,61.9875,5.1352,55.96,88,100,15.55,NO,1659231004
Barcelona,41.3888,2.159,79.54,78,0,5.01,ES,1659231005
Qasigiannguit,68.8193,-51.1922,48.45,89,100,10.42,GL,1659231005
Cave Spring,37.2276,-80.0128,77.45,79,68,1.01,US,1659231005
Ontario,34.0633,-117.6509,93.65,45,75,19.57,US,1659230861
Copiapó,-27.3667,-70.3333,51.49,76,4,0.85,CL,1659230896
Mayumba,-3.432,10.6554,71.08,92,100,5.91,GA,1659231006
Rāwah,34.4816,41.9093,90.34,12,3,5.61,IQ,1659231006
Arona,28.0996,-16.681,69.69,72,0,9.22,ES,1659231006
Wuda,39.4994,106.7117,83.14,47,86,13.71,CN,1659231007
Laas,46.6166,10.7002,61.68,82,8,5.99,IT,1659231007
Altay,47.8667,88.1167,73.51,42,73,3.56,CN,1659231007
Formosa,-26.1775,-58.1781,53.58,82,0,4.61,AR,1659231008
Chaozhou,23.6651,116.6379,89.46,58,0,1.99,CN,1659231008
Jiujiang,29.7333,115.9833,87.13,62,2,6.78,CN,1659231008
Thunder Bay,48.4001,-89.3168,75.18,53,40,10.36,CA,1659230794
Constantine,36.365,6.6147,72.81,56,0,0.0,DZ,1659231008
Neiafu,-18.65,-173.9833,83.08,74,20,12.66,TO,1659230934
